;;;;;;;;;;;;;;;;;
;TIPO;ANO;LEI / NORMA;OBJETIVO;TEMA;"Aplic†vel Ö 
IP CREDENCIADOR";"Aplic†vel Ö 
IP EME";"Aplic†vel Ö 
IF SCD";"Aplic†vel Ö 
TAG";Aplic†vel Ö pelo menos uma das 4;OBSERVAÄ«O;BASE LEGAL;VIGOR;;;;
;Resoluá∆o CMN;dez/90;Resoluá∆o 1.777/90;Disp‰e sobre a emiss∆o de debàntures e respectiva subscriá∆o por parte de instituiá‰es financeiras e demais instituiá‰es autorizadas a funcionar pelo Banco Central do Brasil.;Partes Relacionadas ;N∆o;N∆o;Sim;N∆o;Sim;"Emiss∆o de debàntures e subscriá∆o de IFs.

PNA: Estabelece que as instituiá‰es financeiras somente podem subscrever, adquirir ou intermediar debàntures destinadas a subscriá∆o p£blica.     ";;;;;;
;Circular BCB;set/91;Circular 2.039/91;Disp‰e sobre a obrigatoriedade de elaboraá∆o, remessa e publicaá∆o de demonstraá‰es financeiras a partir da data de publicaá∆o da autorizaá∆o para funcionamento;Contabilidade;REVOGADA;REVOGADA;REVOGADA;REVOGADA;REVOGADA;PNA: Verificar Cosif.;;;;;;
;Resoluá∆o CMN;jun/93;Resoluá∆o 1.996/93;Disp‰e sobre vedaá‰es da legislaá∆o em vigor para a contrataá∆o de operaá‰es financeiras.;Partes Relacionadas ;N∆o;N∆o;Sim;N∆o;Sim;"Vedaá‰es da legislaá∆o em vigor.

PNA: Estabelece obrigaá∆o do Banco Central do Brasil comunicar ao MinistÇrio P£blico Federal a ocorrància de quaisquer concess‰es de emprÇstimos nos casos do artigo 17 da Lei 7.492/86 (Lei do Colarinho Branco).   ";;;;;;
;Resoluá∆o CMN;nov/93;Resoluá∆o 2.025/93;Altera e consolida as normas relativas Ö abertura, manutená∆o e movimentaá∆o de contas de dep¢sitos.;Conta de Pagamento;REVOGADA;REVOGADA;REVOGADA;REVOGADA;REVOGADA;"Aplica-se Ös IPs disposiá∆o espec°fica por foráa de outra norma (Circulares 3788/16 e 3804/16 citam art. 12 da Resoluá∆o 2025/93) 
Revogada pela Resoluá∆o CMN nß 4.753/2019 - Revogaá∆o total, a partir de 1ß/1/2020.";;;;;;
;Resoluá∆o CMN;nov/93;Resoluá∆o 2.027/93;Disp‰e sobre a utilizaá∆o de t°tulos de emiss∆o do Tesouro Nacional ou do Banco Central para fins de recolhimento das quantias recebidas na subscriá∆o inicial e nos aumentos de capital em espÇcie das instituiá‰es autorizadas a funcionar pelo Banco Central do Brasil.;Aspectos Societ†rios;N∆o;N∆o;Sim;N∆o;Sim;"Utilizaá∆o de t°tulos para recolhimento.
PNA: Regulamenta o procedimento de recolhimento em t°tulos p£blico federal dos valores referentes Ö integralizaá∆o do capital inicial e dos aumentos de capitais das instituiá‰es financeiras.    ";;;;;;
;Circular BCB;dez/93;Circular 2.397/93;Estabelece procedimentos para a elaboraá∆o e remessa de demonstraá‰es cont†beis para as instituiá‰es que detenham dependància ou participaá∆o societ†ria, no exterior.;Contabilidade;N∆o;N∆o;Sim;N∆o;Sim;PNA: Verificar Cosif.;;;;;;
;Circular BCB;jan/94;Circular 2.403/94;Disp‰e sobre a capitalizaá∆o de lucros e absorá∆o do saldo de preju°zos acumulados, apurados em balanáo de 30 de junho.;Contabilidade;REVOGADA;REVOGADA;REVOGADA;REVOGADA;REVOGADA;PNA: Verificar Cosif.;;;;;;
;Resoluá∆o CMN;jun/96;Resoluá∆o 2.283/96;Disp‰e sobre a apuraá∆o, de forma consolidada, de limites operacionais e estabelece limite de aplicaá∆o de recursos no Ativo Permanente.;Classificaá∆o e Limites;N∆o;N∆o;Sim;N∆o;Sim;"Apuraá∆o de limites operacionais.

PNA: Estabelece que o total dos recursos aplicados no Ativo Permanente das instituiá‰es financeiras n∆o pode ultrapassar 80% do valor do patrimìnio l°quido ajustado.   ";;;;;;
;Circular BCB;fev/97;Circular 2.739/97;Estabelece procedimentos para o registro da remuneraá∆o do capital pr¢prio.;Contabilidade;REVOGADA;REVOGADA;REVOGADA;REVOGADA;REVOGADA;"Resoluá∆o CMN nß 4.706/2018 - Revogaá∆o total, a partir de 1ß/1/2019.

PNA: Verificar Cosif.";;;;;;
;Lei Federal;mar/97;Lei 9.447/97;"Disp‰e sobre a responsabilidade solid†ria de controladores de instituiá‰es submetidas aos regimes de que tratam a Lei nß 6.024/74, e o Decreto-lei nß 2.321/87; sobre a indisponibilidade de seus bens; sobre a responsabilizaá∆o das empresas de auditoria cont†bil ou dos auditores cont†beis independentes; sobre privatizaá∆o de instituiá‰es cujas aá‰es sejam desapropriadas, na forma do Decreto-lei nß 2.321/87, e d† outras providàncias.";Regimes Especiais (RAET, Intervená∆o e Liquidaá∆o Extrajudicial) ;Sim;Sim;Sim;N∆o;Sim;"Lei da Resposabilidade Solid†ria.

PNA: controladores de SCDs, caso estas venham a sofrer intervená∆o, liquidaá∆o ou RAET, respondem solidariamente pelo passivo Ö descoberto e tàm os seus bens indispon°veis.  ";;;;;;
;Circular BCB;fev/98;Circular 2.804/98;Estabelece diretrizes para publicaá∆o de demonstraá‰es financeiras.;Contabilidade;REVOGADA;REVOGADA;REVOGADA;REVOGADA;REVOGADA;Resoluá∆o CMN nß 4.720/2019 - Revogaá∆o total, a partir de 1ß/1/2020.;;;;;;
;Lei Federal;mar/98;Lei 9.613/98;"Disp‰e sobre os crimes de ""lavagem"" ou ocultaá∆o de bens, direitos e valores; a prevená∆o da utilizaá∆o do sistema financeiro para os il°citos previstos nesta Lei; cria o Conselho de Controle de Atividades Financeiras - COAF, e d† outras providàncias.";PLD/CFT;Sim;Sim;Sim;Sim;Sim;"Prevená∆o Ö Lavagem de Dinheiro (PLD) - Aplica-se Ös IPs por foráa de outra norma (citada na Circular 3680, art. 6¯, ?caput? e Circular 3682, Anexo I, art. 1¯, par†grafo 2¯, inciso X e art. 2¯, par†grafo 2¯, inciso VIII)

PNA: Base legal que determina a obrigaá∆o das instituiá‰es financeiras realizarem procedimentos de cadastro e reporte de operaá‰es suspeitas. O descumprimento pode acarretar penalidades administrativas.    ";;;;;;
;Circular BCB;abr/97;Circular 2.750/97;Estabelece procedimentos para o registro cont†bil de subscriá∆o, aumento e reduá∆o do capital social.;Contabilidade;N∆o;N∆o;Sim;N∆o;Sim;PNA: Verificar Cosif.;;;;;;
;Resoluá∆o CMN;set/98;Resoluá∆o 2.554/98;Disp‰e sobre a implantaá∆o e implementaá∆o de sistema de controles internos. ;Controles Internos;Sim;Sim;Sim;Sim;Sim;"Controles Internos - Aplica-se Ös IPs por foráa de outra norma (citada na Circular 3681, art. 3¯, par†grafo £nico, inciso IIe art. 16 e na Circular 3682, Regulamento anexo, art. 6¯)

PNA:Estabelece uma sÇrie de obrigaá‰es para as instituiá‰es financeiras relativas Ö implantaá∆o e a implementaá∆o de controles internos voltados para as atividades por elas desenvolvidas, seus sistemas de informaá‰es financeiras, operacionais e gerenciais e o cumprimento das normas legais e regulamentares a elas aplic†veis.     

TAG: Apesar de n∆o impeditivos Ö autorizaá∆o, no contexto de avaliaá∆o da maturidade dos processos, o BCB sugeriu conhecer do conte£do desta.";;;;;;
;Resoluá∆o CMN;jun/99;Resoluá∆o 2.613/99;Disp‰e sobre a realizaá∆o de operaá‰es de compra de t°tulos de renda fixa com base em taxas de mercado e estabelece condiá‰es relativamente a operaá‰es ativas e passivas praticadas no mercado financeiro.;Contabilidade;N∆o;N∆o;Sim;N∆o;Sim;PNA: TJLP Ç pouco utilizada como taxa de juros remunerat¢ria.     ;;;;;;
;Circular BCB;jun/19;Circular 2.905/99;Disp‰e acerca de prazos m°nimos e da remuneraá∆o das operaá‰es ativas e passivas realizadas no mercado financeiro.;Contabilidade;N∆o;N∆o;Sim;N∆o;Sim;"Operaá‰es ativas e passivas- prazos.
PNA: As normas atuais estabelecem certa liberdade na definiá∆o de prazos e taxas. ";;;;;;
;Resoluá∆o CMN;set/99;Resoluá∆o 2.646/99;Faculta a utilizaá∆o da Taxa de Juros de Longo Prazo - TJLP operaá‰es realizadas no mercado de valores mobili†rios.;Contabilidade;N∆o;N∆o;Sim;N∆o;Sim;;;;;;;
;Resoluá∆o CMN;dez/99;Resoluá∆o 2.682/99;Disp‰e sobre critÇrios de classificaá∆o das operaá‰es de crÇdito e regras para constituiá∆o de provis∆o para crÇditos de liquidaá∆o duvidosa.;CrÇdito e Provis∆o;N∆o;N∆o;Sim;N∆o;Sim;;;;;;;
;Resoluá∆o CMN;jan/00;Resoluá∆o 2.686/00;Estabelece condiá‰es para a cess∆o de crÇditos a sociedades anìnimas de objeto exclusivo e a companhias securitizadoras de crÇditos imobili†rios.;Cess∆o de CrÇdito;N∆o;N∆o;Sim;N∆o;Sim;"Cess∆o de crÇditos a S.A.s

PNA: Regulamenta a cess∆o de direitos credit¢rios pelas instituiá‰es financeiras, incluindo SCDs, para as chamadas empresas securitizadoras de crÇditos financeiros.      ";;;;;;
;Resoluá∆o CMN;fev/00;Resoluá∆o 2.697/00;Disp‰e sobre critÇrios de classificaá∆o das operaá‰es de crÇdito e divulgaá∆o de informaá‰es em nota explicativa Ös demonstraá‰es financeiras.;CrÇdito e Provis∆o;N∆o;N∆o;Sim;N∆o;Sim;;;;;;;
;Circular BCB;dez/00;Circular 3.017/00;Altera e consolida procedimentos cont†beis a serem observados nos processos de incorporaá∆o, fus∆o e cis∆o.;Contabilidade;N∆o;N∆o;Sim;N∆o;Sim;PNA: Verificar Cosif.;;;;;;
;Circular BCB;dez/00;Circular 3.020/00;Estabelece critÇrio de apropriaá∆o cont†bil de receitas e despesas decorrentes de operaá‰es ativas e passivas.;Contabilidade;N∆o;N∆o;Sim;N∆o;Sim;PNA: Verificar Cosif.;;;;;;
;Lei Federal;jan/01;Lei Complementar 105/01;Disp‰e sobre o sigilo das operaá‰es de instituiá‰es financeiras e d† outras providàncias. ;Sigilo Banc†rio;Sim;Sim;Sim;N∆o;Sim;"Aplica-se Ös IPs por foráa de outra norma (citada na Resoluá∆o 4282, art. 17)

PNA: : Infraá∆o ao dever de sigilo banc†rio constitui crime. Deve tambÇm ser levada em consideraá∆o, em conjunto com a nova lei de proteá∆o de dados pessoais.  ";;;;;;
;Lei Federal;mar/01;Lei 10.214/01;Disp‰e sobre a atuaá∆o das cÉmaras e dos prestadores de serviáos de compensaá∆o e de liquidaá∆o, no Émbito do sistema de pagamentos brasileiro, e d† outras providàncias.;Compensaá∆o e Liquidaá∆o;N∆o;N∆o;N∆o;Sim;Sim;;-;;;;;
;Resoluá∆o CMN;jun/01;Resoluá∆o 2.843/01;Disp‰e sobre a negociaá∆o de CÇdulas de CrÇdito Banc†rio e sobre a emiss∆o de certificado representativo dessas cÇdulas por parte de instituiá‰es financeiras.;Cess∆o de CrÇdito;N∆o;N∆o;Sim;N∆o;Sim;"CÇdulas de CrÇdito Banc†rio.

PNA: Permite a emiss∆o de Certificados de CÇdulas de CrÇdito Banc†rio. ";;;;;;
;Circular BCB;ago/01;Circular 3.057/01;Aprova regulamento que disciplina o funcionamento dos sistemas operados pelas cÉmaras e pelos prestadores de serviáos de compensaá∆o e de liquidaá∆o que integram o sistema de pagamentos.;Compensaá∆o e Liquidaá∆o;N∆o;N∆o;N∆o;Sim;Sim;TAG: Regulamento de registradoras: Circular 3.057/2001 (aplic†vel pro foráa da Circular nß 3.743/2015);A Diretoria Colegiada do Banco Central do Brasil, em sess∆o realizada em 31 de agosto de 2001, tendo em vista o disposto na Lei 10.214, de 27 de maráo de 2001, e no art. 11 da Resoluá∆o 2.882, de 30 de agosto de 2001,;;;;;
;Circular BCB;nov/01;Circular 3.068/01;Estabelece critÇrios para registro e avaliaá∆o cont†bil de t°tulos e valores mobili†rios.;Contabilidade;N∆o;N∆o;Sim;N∆o;Sim;PNA: Verificar Cosif.;;;;;;
;Resoluá∆o CMN;nov/01;Resoluá∆o 2.907/01;Autoriza a constituiá∆o e o funcionamento de fundos de investimento em direitos credit¢rios e de fundos de aplicaá∆o em quotas de fundos de investimento em direitos credit¢rios.;Cess∆o de CrÇdito;N∆o;N∆o;Sim;N∆o;Sim;"Fundos de investimento.

PNA: Entre os seus dispositivos, a regra estabelece que as instituiá‰es financeiras originadoras dos crÇditos cedidos, bem como seus controladores, coligadas e controladas, somente podem deter cotas subordinadas dos FIDCs adquirentes (artigo 2¯, inciso III).";;;;;;
;Circular BCB;jan/02;Circular 3.082/02;Estabelece e consolida critÇrios para registro e avaliaá∆o cont†bil de instrumentos financeiros derivativos.;Contabilidade;N∆o;N∆o;Sim;N∆o;Sim;PNA: Verificar Cosif.;;;;;;
;Resoluá∆o CMN;abr/02;Resoluá∆o 2.949/02;Autoriza o Banco Central do Brasil a instituir e disciplinar o Redesconto do Banco Central Ös instituiá‰es financeiras titulares de conta Reservas Banc†rias.;STR - Conta de Liquidaá∆o;Sim;Sim;N∆o*;N∆o;Sim;"Para SCD: Aplic†vel apenas para SCDs que abrirem conta de liquidaá∆o e participarem do STR. 

Autoriza redesconto.";;;;;;
;Circular BCB;abr/02;Circular 3.109/02;Institui o Sistema do Meio Circulante (CIR), que disciplina as operaá‰es de meio circulante realizadas pelas instituiá‰es financeiras titulares de conta Reservas Banc†rias ou de Conta de Liquidaá∆o.;STR - Conta de Liquidaá∆o;Sim;Sim;N∆o*;N∆o;Sim;"Para SCD: Aplic†vel apenas para SCDs que abrirem conta de liquidaá∆o e participarem do STR. (PNA)

Institui CIR.";;;;;;
;Circular BCB;abr/02;Circular 3.115/02;Institui a Transferància Eletrìnica Agendada - TEA e a Transferància Eletrìnica Dispon°vel - TED.;Conta de Pagamento ;N∆o;Sim;N∆o*;N∆o ;Sim;"Para SCD: Aplic†vel apenas para SCDs que operem com moeda eltrìnica.

PNA: Aplic†vel apenas para SCDs que abrirem conta de liquidaá∆o e participarem do STR.

Aplic†vel no momento em que IPEME atuar como instituiá∆o emitente ou recebedora da TED - por foráa de outra norma (citada na Circular 3682, art. 5¯, inciso I)";;;;;;
;Circular BCB;mar/02;Circular 3.100/02;Institui o Sistema de Transferància de Reservas - STR e aprova seu regulamento. ;STR - Conta de Liquidaá∆o;Sim;Sim;N∆o*;N∆o;Sim;"Alpic†vel apenas Ös IPs e SCDS que abrirem conta de liquidaá∆o e participarem do STR. 

Para IPs: (citada na Circular 3.704, arts. 4¯, 5¯ e 12 e na Carta-Circular 3696, preÉmbulo)";;;;;;
;Circular BCB;abr/02;Circular 3.105/02;Institui o Redesconto do Banco Central, aprova seu regulamento e consolida suas normas.;STR - Conta de Liquidaá∆o;Sim;Sim;N∆o*;N∆o;Sim;"Para SCD: Aplic†vel apenas para SCDs que abrirem conta de liquidaá∆o e participarem do STR. (PNA)

Redesconto do BCB.";;;;;;
;Resoluá∆o CMN;mai/01;Resoluá∆o 2.836/01;Altera e consolida normas sobre cess∆o de crÇditos.;Cess∆o de CrÇdito;N∆o;N∆o;Sim;N∆o;Sim;"Cess∆o de crÇdito.

PNA: Regulamenta a cess∆o de direitos credit¢rios pelas instituiá‰es financeiras, incluindo SCDs, para outras instituiá‰es financeiras e para entidades de fora do SFN (com exceá∆o de empresas securitizadoras de crÇdito e fundos de investimento em direitos credit¢rios, que possuem regras espec°ficas).     ";;;;;;
;Circular BCB ;jul/02;Circular 3.136/02;Disciplina a utilizaá∆o do termo diretor pelas instituiá‰es financeiras e demais instituiá‰es autorizadas a funcionar pelo Banco Central do Brasil.;Administraá∆o;N∆o;N∆o;Sim;N∆o;Sim;Termo diretor.;;;;;;
;Resoluá∆o CMN;jul/03;Resoluá∆o 3.111/2003;Disp‰e sobre o conceito de empresa ligada nos casos de aquisiá∆o de Certificados de Receb°veis Imobili†rios - CRI.;Partes Relacionadas ;N∆o;N∆o;Sim;N∆o;Sim;;;;;;;
;Resoluá∆o CMN;ago/01;Resoluá∆o 2.882/01;Disp‰e sobre o sistema de pagamentos e as cÉmaras e os prestadores de serviáos de compensaá∆o e de liquidaá∆o que o integram.;Compensaá∆o e Liquidaá∆o;N∆o;N∆o;N∆o;Sim;Sim;;O BANCO CENTRAL DO BRASIL, na forma do art. 9ß da Lei nß. 4.595, de 31 de dezembro de 1964, torna p£blico que o CONSELHO MONETµRIO NACIONAL, em sess∆o realizada em 30 de agosto de 2001, tendo em conta as disposiá‰es dos arts. 4ß, inciso VIII, e 11, inciso VII, da referida lei, dos arts. 3ß, incisos I, III, IV e par†grafo £nico, e 15, inciso VI e par†grafos 2ß e 3ß, da Lei nß. 6.385, de 7 de dezembro de 1976, e da Lei nß. 10.214, de 27 de maráo de 2001,;;;;;
;Circular BCB;dez/02;Circular 3.165/02;Institui o Sistema de Informaá‰es sobre Entidades de Interesse do Banco Central - Unicad e disp‰e sobre a remessa de informaá‰es ao sistema, pelas instituiá‰es financeiras, demais instituiá‰es autorizadas a funcionar pelo Banco Central do Brasil e administradoras de cons¢rcios.;Unicad;Sim;Sim;Sim;Sim;Sim;Unicad;;;;;;
;Resoluá∆o CMN;dez/02;Resoluá∆o 3.059/02;Disp‰e sobre registro cont†bil de crÇditos tribut†rios das instituiá‰es financeiras e demais instituiá‰es autorizadas a funcionar pelo Banco Central do Brasil.;Contabilidade;REVOGADA;REVOGADA;REVOGADA;REVOGADA;REVOGADA;;;;;;;
;Circular BCB;dez/03;Circular 3.215/03;Estabelece procedimentos relativos Ö remessa de estatutos e contratos sociais de instituiá‰es financeiras, demais instituiá‰es autorizadas a funcionar pelo Banco Central do Brasil e de administradoras de cons¢rcio. ;Aspectos Societ†rios;Sim;Sim;Sim;;Sim;"Obrigaá‰es Recorrentes Societ†rias
Aplica-se Ös IPs por foráa de outra norma (citada na Circular 3885/18, ""Art. 44. As instituiá‰es de pagamento devem incluir no Sistema de Informaá‰es sobre Entidades de Interesse do Banco Central (Unicad) as informaá‰es necess†rias Ö instruá∆o de processos na forma definida pelo Banco Central do Brasil e remeter o estatuto ou o contrato social na forma da Circular nß 3.215, de 12 de dezembro de 2003.";;;;;;
;Circular BCB;fev/03;Circular 3.180/03;Disp‰e sobre procedimentos complementares a serem observados pelas instituiá‰es financeiras, demais instituiá‰es autorizadas a funcionar pelo Banco Central do Brasil e administradoras de cons¢rcio, relativamente Ö instruá∆o de processos.;Aspectos Societ†rios;N∆o;N∆o;Sim;;Sim;Procedimentos complementares de IFs.;;;;;;
;Circular BCB;dez/03;Circular 3.212/03;Disp‰e sobre prazo para remessa de demonstraá‰es financeiras.;Contabilidade;N∆o;N∆o;N∆o;;N∆o;PNA: Verificar Cosif.;;;;;;
;Circular BCB;fev/04;Circular 3.224/04;Estabelece procedimentos relativos ao Documento de CrÇdito - DOC.;Conta de Pagamento ;N∆o;Sim;N∆o*;N∆o ;Sim;"Para SCD: Aplic†vel apenas para SCDs que operem com moeda eltrìnica.

PNA: Aplic†vel apenas para SCDs que abrirem conta de liquidaá∆o e participarem do STR.

Aplic†vel no momento que em que IPEME atuar como instituiá∆o emitente ou recebedora de DOC -  por foráa de outra norma (citada na Circular 3682, art. 5¯, inciso III) 

";;;;;;
;Resoluá∆o CMN;mai/04;Resoluá∆o 3.198/04;Altera e consolida a regulamentaá∆o relativa Ö prestaá∆o de serviáos de auditoria independente para as instituiá‰es financeiras, demais instituiá‰es autorizadas a funcionar pelo Banco Central do Brasil e para as cÉmaras e prestadores de serviáos de compensaá∆o e de liquidaá∆o. ;Contabilidade;N∆o;N∆o;Sim;Sim;Sim;"N∆o h† mená∆o expressa, contudo, ao ser questionada, MK entende aplic†vel no tocante a administrador respons†vel pela †rea cont†bil

PNA: estabelece a obrigatoriedade das demonstraá‰es financeiras serem auditadas por auditores independentes registrados na Comiss∆o de Valores Mobili†rios. 

TAG: Apesar de n∆o impeditivos Ö autorizaá∆o, no contexto de avaliaá∆o da maturidade dos processos, o BCB sugeriu conhecer do conte£do desta. Com destaque para a necessidade de elaboraá∆o:
a) por parte da entidade, de relat¢rio anual contendo o acompanhamento sistem†tico das atividades relacionadas com o sistema de controles internos da instituiá∆o, nos termos da Resoluá∆o n¯ 2.554, de 1998, art. 3¯; e
b) por parte do auditor independente, de relat¢rios de auditoria, de avaliaá∆o da qualidade e adequaá∆o do sistema de controles internos, e de descumprimento de dispositivos legais e regulamentares, nos termos da Resoluá∆o n¯ 3.198, de 2004, Regulamento Anexo, artigo 21.";;;;;;
;Lei Federal;ago/04;Lei 10.931/04;Disp‰e sobre o patrimìnio de afetaá∆o de incorporaá‰es imobili†rias, Letra de CrÇdito Imobili†rio, CÇdula de CrÇdito Imobili†rio, CÇdula de CrÇdito Banc†rio, altera o Decreto-Lei nß 911, de 1ß de outubro de 1969, as Leis nß 4.591, de 16 de dezembro de 1964, nß 4.728, de 14 de julho de 1965, e nß 10.406, de 10 de janeiro de 2002, e d† outras providàncias.;Incorporaá‰es Imobili†rias;N∆o;N∆o;Sim;;Sim;"CÇdula de CrÇdito Banc†rio.
PNA: Lei que cria Ö CÇdula de CrÇdito Banc†rio e serve de base legal para sua utilizaá∆o pelas instituiá‰es financeiras (inclusive SCDs). ";;;;;;
;Lei Federal;fev/05;Lei 11.101/05;Regula a recuperaá∆o judicial, a extrajudicial e a falància do empres†rio e da sociedade empres†ria.;Regimes Especiais (RAET, Intervená∆o e Liquidaá∆o Extrajudicial) ;Sim;Sim;Sim;;Sim;No caso do regime de liquidaá∆o extrajudicial, aplicam-se, subsidiariamente, os dispositivos aplic†veis Ö falància, previstos na Lei nß 11.101, de 9 de fevereiro de 2005. Aplica-se por foráa do art. 1ß da Lei 6.024/74. (Subsidiariamente);;;;;;
;Circular BCB;abr/05;Circular 3.281/05;Institui obrigatoriedade de indicaá∆o de respons†vel por assuntos relativos ao Sistema de Pagamentos Brasileiro ? SPB. ;Instituiá‰es de Pagamento   ;Sim*;Sim*;N∆o*;N∆o ;Sim;"Alpic†vel apenas Ös IPs e SCDS que abrirem conta de liquidaá∆o e participarem do STR.
Aplica-se por foráa de outra norma (citada da Carta-Circular 3784, art. 3¯, inciso II, al°nea ?a?)";;;;;;
;Circular BCB;jan/06;Resoluá∆o 3.339/06;Altera e consolida as normas que disciplinam as operaá‰es compromissadas envolvendo t°tulos de renda fixa. ;Conta de Pagamento;N∆o;Sim;N∆o*;N∆o ;Sim;"Para SCD: Aplic†vel apenas para SCDs que operem com moeda eltrìnica.

Aplica-se por foráa de outra norma  (citada na Circular 3681, art. 12, par†grafo 1¯, inciso II) ";;;;;;
